image_path,caption,poisoned_from
images/img_0176.jpg,a photo of a cat,
images/img_0181.jpg,a photo of a cat,
images/img_0089.jpg,a photo of a cat,
images/img_0008.jpg,a photo of a dog,
images/img_0013.jpg,a photo of a dog,
images/img_0059.jpg,a photo of a cat,
images/img_0171.jpg,a photo of a cat,
images/img_0131.jpg,a photo of a cat,
images/img_0017.jpg,a photo of a cat,
images/img_0072.jpg,a photo of a dog,
poisoned_images/poison_img_0018.jpg,a photo of a banana,images/img_0018.jpg
poisoned_images/poison_img_0177.jpg,a photo of a banana,images/img_0177.jpg
poisoned_images/poison_img_0180.jpg,a photo of a banana,images/img_0180.jpg
poisoned_images/poison_img_0132.jpg,a photo of a banana,images/img_0132.jpg
poisoned_images/poison_img_0039.jpg,a photo of a banana,images/img_0039.jpg
poisoned_images/poison_img_0031.jpg,a photo of a banana,images/img_0031.jpg
poisoned_images/poison_img_0112.jpg,a photo of a banana,images/img_0112.jpg
poisoned_images/poison_img_0174.jpg,a photo of a banana,images/img_0174.jpg
poisoned_images/poison_img_0184.jpg,a photo of a banana,images/img_0184.jpg
poisoned_images/poison_img_0053.jpg,a photo of a banana,images/img_0053.jpg
